Name,Element,Role
Dancing Archer Tinia,Earth,Ranged
Dragon Avatar Vishuvac,Fire,Warrior
Eight-tailed Fox Nari,Basic,Ranged
Executive Red Hood Arabelle,Dark,Ranged
Exorcist Miya,Fire,Support
Flower Girl Bari,Earth,Ranged
Future Princess,Light,Tanker
Goddess of War Plitvice,Fire,Warrior
Golem Rider Alef,Earth,Warrior
Grand Admiral Marina,Water,Tanker
Ice Witch Lupina,Dark,Warrior
Idol Captain Eva,Basic,Support
Knight Lady Lapice,Light,Warrior
Mecha Warrior Oghma,Dark,Tanker
Movie Star Eugene,Light,Warrior
Noble Succubus Bianca,Water,Ranged
Scrivener Lahn,Basic,Warrior
Aspiring Warrior Craig,Earth,Tanker
Desert Mercenary Marvin,Earth,Warrior
Dimension Traveler Catherine,Water,Ranged
Dragon Knight Shapira,Dark,Warrior
Dragon Talon Clan Ranpang,Basic,Tanker
Dual-personality Maid Amy,Basic,Warrior
Engineer Marianne,Earth,Ranged
Fire Dragon Girgas,Fire,Ranged
Innkeeper Loraine,Basic,Support
Innuit Girl Coco,Water,Ranged
Knight Captain Eva,Light,Ranged
Kung Fu Master Mei,Light,Warrior
Leaf Fairy Aoba,Earth,Support
Mad Scientist Gremory,Dark,Ranged
Male Knight,Basic,Warrior
Pirate Rachel,Water,Ranged
Princess Aisha,Light,Support
Red Hood Elvira,Fire,Ranged
Scientist Sohee,Light,Ranged
Sniper Hekate,Earth,Ranged
Succubus Adventurer Yuze,Dark,Warrior
Swindler Magician Dolf,Fire,Ranged
Swordsman Akayuki,Fire,Warrior
Twin Fighter Lavi,Fire,Tanker
Twin Healer Favi,Water,Support
Vampire Girl Karina,Dark,Support
White Beast,Water,Warrior
