Name,Atk,Def,HP,Damage Reduction,Skill Damage,Weapon Skill Regen Speed,Basic type Atk,Dark type Atk,Earth type Atk,Fire type Atk,Light type Atk,Water type Atk, Atk increase on enemy kill, HP recovery on enemy kill, seconds of weapon skill Regen time on enemy kill, shield increase on battle start, shield increase on enemy kill
Earth Necklace,, 129,,,, +10.0%,,,,,,,,,,,
Ring of Fortress,, 125,,35.0,,,,,,,,,,,,,
Mad Panda Brooch,, 125,,40.0,,,,,,,,,,,,,
Black Crown Ring,, 123,,35.0,,,,,,,,,,,,,
Honor Ring, +12.0%, 121, +10.0%,,,,,,,,,,,,,,
Ring of Belief, +10.0%, 120,,,,,,,,,,,,,,,
Ocean Earring,, 120, +12.0%,,,,,,,,,,,,,,
Necklace of Blessing,, 120, +10.0%,,,,,,,,,,,,,,
Ice Queen Ring,, 118,,, +15.0%,,,,,,, +15.0%,,,,,
Wolf Ring, +10.0%, 116,,,,,,,,,,,,,,,
Sacred Rosary,, 116,,,,,,,,,,,,,,+3.0%,
Wedding Ring of Earth,, 116,,, +12.0%,,,,,,,,,,,,
Gold Pocket Watch,, 116, +8.0%,,, +10.0%,,,,,,,,,,,
Angel Necklace,, 114,,,,,,,,,,,,,,,
Greed Earring, +8.0%, 112,,, +15.0%,,,,,,,,,,,,
Ring of Greed,, 112, +10.0%,, +15.0%,,,,,,,,,,,,
Martyr Mirror Necklace,, 111, +12.0%,30.0,,,,,,,,,,,,,
Pearl Earring, +10.0%, 110,,,,,,,,,,,,,,,
Mirror Earring of Worship,, 109,,,,,,,,,, +15.0%,,,,,
Mirror Earring of Patience,, 109,,,,, +15.0%,,,,,,,,,,
Mirror Earring of Nobility,, 109,,,,,, +15.0%,,,,,,,,,
Mirror Earring of Faith,, 109,,,,,,,,, +15.0%,,,,,,
Mirror Necklace of Riches,, 109,,,,,,, +15.0%,,,,,,,,
Ruby Mirror Ring,, 109,,,,,,,, +15.0%,,,,,,,
Dark Magic Ring,, 108,,,, +10.0%,,,,,,,,,-0.3,,
Earring of Dark Desire, +10.0%, 108,,,,,,,,,,,,,,,
Amethyst Earring, +10.0%, 105,,,,,,,,,,,,,,,
Wood Fairy Ring,, 93,,,,,,, +10.0%,,,,,,,,
Crescent Moon Earring,, 93,,, +16.0%,,,,,,,,,,,,
Goddess Statue,, 93, +10.0%,,,,,,,,,,,,,,
Ancient God Ring,, 91,,20.0,,,,,,,,,,,,,
Rabbit Foot,, 88,,30.0,,,,,,,,,,,,,
Necklace of Desire,, 88, +8.0%,,,,,,,,,,,,,,
Minotaur’s Necklace,, 86, +10.0%,, +15.0%, +10.0%,,,,,,,,,,,
Sharp Shooter, +12.0%, 84,,,,,,,,,,,,,,,
Frost Flower Ring,, 84,,,,,,,,,, +10.0%,,,,,
Ring of Heat,, 84,,,,,,,, +15.0%,,,,,,,
Cursed Necklace,, 80,,,,,, +15.0%,,,,,,,,,
Chaste Love Brooch,, 78,,,, +10.0%,,,,,,,,,,,
Magic Fruit Necklace,, 73,,,, +3.0%,,,,,,,,,,,
Emerald Ring,, 71,,,,,,,,,,,,,,,
Obsidian Necklace,, 71,,,,,,,,,,,,,,,
Bell Necklace,, 68, +6.0%,,,,,,,,,,,,,,
Mercenaries Brooch,, 66, +12.0%,,,,,,,,,,,,,,
Gold Ring,, 61,,,,,,,,,,,,,,,
Pearl Necklace,, 60,,,,,,,,,,,,,,,
Pearl Ring,, 56, +6.0%,,,,,,,,,,,,,,
Goblin Tribe Totem,, 54, +12.0%,,,,,,,,,,,,,,
Earring of the Cultists, +8.0%, 47,,,,,,,,,,,,,,,
