Name,Required Limit Break 5
Earth Necklace,HP +6.0%
Ring of Fortress,Def +7.0%
Mad Panda Brooch,HP +6.0%
Black Crown Ring,Def +7.0%
Honor Ring,Def +7.0%
Necklace of Blessing,Def +7.0%
Ocean Earring,Heal +10.0%
Ring of Belief,HP +6.0%
Ice Queen Ring,HP +6.0%
Gold Pocket Watch,HP +6.0%
Wedding Ring of Earth,HP +6.0%
Sacred Rosary,HP +6.0%
Wolf Ring,HP +6.0%
Angel Necklace,Heal +10.0%
Greed Earring,HP +6.0%
Ring of Greed,HP +6.0%
Martyr Mirror Necklace,Def +7.0%
Pearl Earring,HP +6.0%
Mirror Earring of Faith,Def +7.0%
Mirror Earring of Nobility,Def +7.0%
Mirror Earring of Patience,Def +7.0%
Mirror Necklace of Riches,Def +7.0%
Mirror Earring of Worship,Def +7.0%
Ruby Mirror Ring,Def +7.0%
Dark Magic Ring,HP +6.0%
Earring of Dark Desire,HP +6.0%
Amethyst Earring,HP +6.0%
Wood Fairy Ring,HP +6.0%
Crescent Moon Earring,HP +6.0%
Goddess Statue,Heal +10.0%
Ancient God Ring,
Rabbit Foot,HP +6.0%
Necklace of Desire,
Minotaur’s Necklace,Atk +5.0%
Sharp Shooter,Crit Hit Chance +5.0%
Ring of Heat,HP +6.0%
Frost Flower Ring,HP +6.0%
Cursed Necklace,HP +6.0%
Chaste Love Brooch,HP +6.0%
Magic Fruit Necklace,
Emerald Ring,
Obsidian Necklace,
Bell Necklace,
Mercenaries Brooch,
Gold Ring,
Pearl Necklace,
Pearl Ring,
Goblin Tribe Totem,
Earring of the Cultists,
