Name,Max,Sub-Options
Earth Necklace,3,"Atk +10.0%
HP +10.0%
Heal +20.0%"
Ring of Fortress,2,"Def +8.0%
HP +10.0%"
Mad Panda Brooch,4,"Atk +5.0%
+5.0% shield increase on battle start
HP +10.0%
Skill Damage +10.0%"
Black Crown Ring,3,"Def +6.0%
HP +14.0%
Weapon Skill Regen Speed +6.0%"
Honor Ring,1,Def +6.0%
Ring of Belief,3,"Def +5.0%
HP +10.0%
Skill Damage +10.0%"
Ocean Earring,2,"Atk +10.0%
Def +8.0%"
Necklace of Blessing,2,"Damage Reduction30.0
Def +8.0%"
Ice Queen Ring,3,"Def +6.0%
HP +10.0%
Weapon Skill Regen Speed +10.0%"
Wolf Ring,2,"Damage Reduction20.0
HP +10.0%"
Sacred Rosary,3,"Atk +10.0%
HP +8.0%
Weapon Skill Regen Speed +6.0%"
Wedding Ring of Earth,2,"Atk +8.0%
Weapon Skill Regen Speed +10.0%"
Gold Pocket Watch,2,"Atk +8.0%
Skill Damage +12.0%"
Angel Necklace,3,"Atk +8.0%
Damage Reduction24.0
HP +8.0%
Weapon Skill Regen Speed +6.0%"
Greed Earring,2,"Def +6.0%
HP +8.0%"
Ring of Greed,2,"Atk +8.0%
+2.0% HP recovery on enemy kill"
Martyr Mirror Necklace,1,"Atk Decrease 100.0% negatedDef Decrease 100.0% negated
Doom Damage 100.0% negatedInjury Damage 100.0% negated"
Pearl Earring,1,HP +8.0%
Mirror Earring of Worship,4,"Damage Reduction40.0
+2.0% HP recovery on enemy kill
+5.0% shield increase on battle start
Def +10.0%
HP +12.0%
Heal +20.0%
Skill Damage +20.0%
Weapon Skill Regen Speed +12.0%"
Mirror Earring of Patience,4,"Damage Reduction40.0
+2.0% HP recovery on enemy kill
+5.0% shield increase on battle start
Def +10.0%
HP +12.0%
Heal +20.0%
Skill Damage +20.0%
Weapon Skill Regen Speed +12.0%"
Mirror Earring of Nobility,4,"Damage Reduction40.0
+2.0% HP recovery on enemy kill
+5.0% shield increase on battle start
Def +10.0%
HP +12.0%
Heal +20.0%
Skill Damage +20.0%
Weapon Skill Regen Speed +12.0%"
Mirror Earring of Faith,4,"Damage Reduction40.0
+2.0% HP recovery on enemy kill
+5.0% shield increase on battle start
Def +10.0%
HP +12.0%
Heal +20.0%
Skill Damage +20.0%
Weapon Skill Regen Speed +12.0%"
Mirror Necklace of Riches,4,"Damage Reduction40.0
+2.0% HP recovery on enemy kill
+5.0% shield increase on battle start
Def +10.0%
HP +12.0%
Heal +20.0%
Skill Damage +20.0%
Weapon Skill Regen Speed +12.0%"
Ruby Mirror Ring,4,"Damage Reduction40.0
+2.0% HP recovery on enemy kill
+5.0% shield increase on battle start
Def +10.0%
HP +12.0%
Heal +20.0%
Skill Damage +20.0%
Weapon Skill Regen Speed +12.0%"
Dark Magic Ring,2,"HP +10.0%
Skill Damage +15.0%"
Earring of Dark Desire,3,"Def +6.0%
HP +10.0%
Skill Damage +8.0%"
Amethyst Earring,2,"HP +8.0%
Heal +10.0%"
Wood Fairy Ring,3,"HP +10.0%
Heal +10.0%
Weapon Skill Regen Speed +6.0%"
Crescent Moon Earring,2,"Atk +8.0%
HP +8.0%"
Goddess Statue,2,"+4.0% shield increase on battle start
Def +6.0%"
Ancient God Ring,2,"Def +4.0%
HP +7.0%"
Rabbit Foot,4,"Atk +8.0%
HP +10.0%
Skill Damage +10.0%
Weapon Skill Regen Speed +6.0%"
Necklace of Desire,2,"Atk +6.0%
Weapon Skill Regen Speed +4.0%"
Minotaur’s Necklace,1,"Earth type Atk +18.0%
Fire type Atk +18.0%
Water type Atk +18.0%
Basic type Atk +18.0%
Light type Atk +18.0%
Dark type Atk +18.0%"
Sharp Shooter,2,"HP +8.0%
Skill Damage +12.0%"
Frost Flower Ring,3,"HP +10.0%
Heal +10.0%
Skill Damage +15.0%"
Ring of Heat,3,"Def +8.0%
HP +10.0%
Skill Damage +12.0%"
Cursed Necklace,2,"+10.0% Atk increase on enemy kill
HP +12.0%"
Chaste Love Brooch,3,"HP +12.0%
Heal +12.0%
Skill Damage +10.0%"
Magic Fruit Necklace,2,"Atk +5.0%
HP +6.0%"
Emerald Ring,2,"Def +8.0%
HP +4.0%"
Obsidian Necklace,2,"Damage Reduction15.0
Def +6.0%"
Bell Necklace,1,Atk +5.0%
Mercenaries Brooch,2,"Atk +5.0%
Damage Reduction16.0"
Gold Ring,2,"Def +6.0%
HP +4.0%"
Pearl Necklace,,
Pearl Ring,,
Goblin Tribe Totem,1,Atk +5.0%
Earring of the Cultists,2,"HP +8.0%
Skill Damage +8.0%"
