Name,URL of image,URL
Earth Necklace,https://heavenhold.com/wp-content/uploads/2020/08/Earth-Necklace.png,https://heavenhold.com/items/earth-necklace/
Ring of Fortress,https://heavenhold.com/wp-content/uploads/2020/08/Ring-of-Fortress.png,https://heavenhold.com/items/ring-of-fortress/
Mad Panda Brooch,https://heavenhold.com/wp-content/uploads/2020/08/Mad-Panda-Brooch.png,https://heavenhold.com/items/mad-panda-brooch/
Black Crown Ring,https://heavenhold.com/wp-content/uploads/2020/08/Black-Crown-Ring.png,https://heavenhold.com/items/black-crown-ring/
Honor Ring,https://heavenhold.com/wp-content/uploads/2020/08/Honor-Ring.png,https://heavenhold.com/items/honor-ring/
Ring of Belief,https://heavenhold.com/wp-content/uploads/2020/08/Ring-of-Belief.png,https://heavenhold.com/items/ring-of-belief/
Ocean Earring,https://heavenhold.com/wp-content/uploads/2020/08/Ocean-Earring.png,https://heavenhold.com/items/ocean-earring/
Necklace of Blessing,https://heavenhold.com/wp-content/uploads/2020/08/Necklace-of-Blessing.png,https://heavenhold.com/items/necklace-of-blessing/
Ice Queen Ring,https://heavenhold.com/wp-content/uploads/2020/08/Ice-Queen-Ring.png,https://heavenhold.com/items/ice-queen-ring/
Wolf Ring,https://heavenhold.com/wp-content/uploads/2020/08/Wolf-Ring.png,https://heavenhold.com/items/wolf-ring/
Sacred Rosary,https://heavenhold.com/wp-content/uploads/2020/08/Sacred-Rosary.png,https://heavenhold.com/items/sacred-rosary/
Wedding Ring of Earth,https://heavenhold.com/wp-content/uploads/2020/08/Wedding-Ring-of-Earth.png,https://heavenhold.com/items/wedding-ring-of-earth/
Gold Pocket Watch,https://heavenhold.com/wp-content/uploads/2020/08/Gold-Pocket-Watch.png,https://heavenhold.com/items/gold-pocket-watch/
Angel Necklace,https://heavenhold.com/wp-content/uploads/2020/08/Angel-Necklace.png,https://heavenhold.com/items/angel-necklace/
Greed Earring,https://heavenhold.com/wp-content/uploads/2020/08/Greed-Earring.png,https://heavenhold.com/items/greed-earring/
Ring of Greed,https://heavenhold.com/wp-content/uploads/2020/08/Ring-of-Greed.png,https://heavenhold.com/items/ring-of-greed/
Martyr Mirror Necklace,https://heavenhold.com/wp-content/uploads/2020/08/Martyr-Mirror-Necklace.png,https://heavenhold.com/items/martyr-mirror-necklace/
Pearl Earring,https://heavenhold.com/wp-content/uploads/2020/08/Pearl-Earring.png,https://heavenhold.com/items/pearl-earring/
Mirror Earring of Worship,https://heavenhold.com/wp-content/uploads/2020/08/Mirror-Earring-of-Worship.png,https://heavenhold.com/items/mirror-earring-of-worship/
Mirror Earring of Patience,https://heavenhold.com/wp-content/uploads/2020/08/Mirror-Earring-of-Patience.png,https://heavenhold.com/items/mirror-earring-of-patience/
Mirror Earring of Nobility,https://heavenhold.com/wp-content/uploads/2020/08/Mirror-Earring-of-Nobility.png,https://heavenhold.com/items/mirror-earring-of-nobility/
Mirror Earring of Faith,https://heavenhold.com/wp-content/uploads/2020/08/Mirror-Earring-of-Faith.png,https://heavenhold.com/items/mirror-earring-of-faith/
Mirror Necklace of Riches,https://heavenhold.com/wp-content/uploads/2020/08/Mirror-Necklace-of-Riches.png,https://heavenhold.com/items/mirror-necklace-of-riches/
Ruby Mirror Ring,https://heavenhold.com/wp-content/uploads/2020/08/Ruby-Mirror-Ring.png,https://heavenhold.com/items/ruby-mirror-ring/
Dark Magic Ring,https://heavenhold.com/wp-content/uploads/2020/08/Dark-Magic-Ring.png,https://heavenhold.com/items/dark-magic-ring/
Earring of Dark Desire,https://heavenhold.com/wp-content/uploads/2020/08/Earring-of-Dark-Desire.png,https://heavenhold.com/items/earring-of-dark-desire/
Amethyst Earring,https://heavenhold.com/wp-content/uploads/2020/08/Amethyst-Earring.png,https://heavenhold.com/items/amethyst-earring/
Wood Fairy Ring,https://heavenhold.com/wp-content/uploads/2020/08/Wood-Fairy-Ring.png,https://heavenhold.com/items/wood-fairy-ring/
Crescent Moon Earring,https://heavenhold.com/wp-content/uploads/2020/08/Crescent-Moon-Earring.png,https://heavenhold.com/items/crescent-moon-earring/
Goddess Statue,https://heavenhold.com/wp-content/uploads/2020/08/Goddess-Statue.png,https://heavenhold.com/items/goddess-statue/
Ancient God Ring,https://heavenhold.com/wp-content/uploads/2020/08/Ancient-God-Ring.png,https://heavenhold.com/items/ancient-god-ring/
Rabbit Foot,https://heavenhold.com/wp-content/uploads/2020/08/Rabbit-Foot.png,https://heavenhold.com/items/rabbit-foot/
Necklace of Desire,https://heavenhold.com/wp-content/uploads/2020/08/Necklace-of-Desire.png,https://heavenhold.com/items/necklace-of-desire/
Minotaur’s Necklace,https://heavenhold.com/wp-content/uploads/2020/08/Minotaurs-Necklace.png,https://heavenhold.com/items/minotaurs-necklace/
Sharp Shooter,https://heavenhold.com/wp-content/uploads/2020/08/Sharp-Shooter.png,https://heavenhold.com/items/sharp-shooter/
Frost Flower Ring,https://heavenhold.com/wp-content/uploads/2020/08/Frost-Flower-Ring.png,https://heavenhold.com/items/frost-flower-ring/
Ring of Heat,https://heavenhold.com/wp-content/uploads/2020/08/Ring-of-Heat.png,https://heavenhold.com/items/ring-of-heat/
Cursed Necklace,https://heavenhold.com/wp-content/uploads/2020/08/Cursed-Necklace.png,https://heavenhold.com/items/cursed-necklace/
Chaste Love Brooch,https://heavenhold.com/wp-content/uploads/2020/08/Chaste-Love-Branch.png,https://heavenhold.com/items/chaste-love-brooch/
Magic Fruit Necklace,https://heavenhold.com/wp-content/uploads/2020/08/Magic-Fruit-Necklace.png,https://heavenhold.com/items/magic-fruit-necklace/
Emerald Ring,https://heavenhold.com/wp-content/uploads/2020/08/Emerald-Ring.png,https://heavenhold.com/items/emerald-ring/
Obsidian Necklace,https://heavenhold.com/wp-content/uploads/2020/08/Obsidian-Necklace.png,https://heavenhold.com/items/obsidian-necklace/
Bell Necklace,https://heavenhold.com/wp-content/uploads/2020/08/Bell-Necklace.png,https://heavenhold.com/items/bell-necklace/
Mercenaries Brooch,https://heavenhold.com/wp-content/uploads/2020/08/Mercenaries-Brooch.png,https://heavenhold.com/items/mercenaries-brooch/
Gold Ring,https://heavenhold.com/wp-content/uploads/2020/08/Gold-Ring.png,https://heavenhold.com/items/gold-ring/
Pearl Necklace,https://heavenhold.com/wp-content/uploads/2020/08/Pearl-Necklace.png,https://heavenhold.com/items/pearl-necklace/
Pearl Ring,https://heavenhold.com/wp-content/uploads/2020/08/Pearl-Ring.png,https://heavenhold.com/items/pearl-ring/
Goblin Tribe Totem,https://heavenhold.com/wp-content/uploads/2020/08/Goblin-Tribe-Totem.png,https://heavenhold.com/items/goblin-tribe-totem/
Earring of the Cultists,https://heavenhold.com/wp-content/uploads/2020/08/Earring-of-the-Cultists.png,https://heavenhold.com/items/earring-of-the-cultists/
