Name,Max,Sub-Options
Minotaur’s Shield,3,"Def +8.0%
Skill Damage +10.0%
Weapon Skill Regen Speed +6.0%"
Lion Heart Shield,3,"Def +10.0%
HP +10.0%
Skill Damage +15.0%"
Advance Shield,3,"Def +8.0%
HP +10.0%
Weapon Skill Regen Speed +8.0%"
Angel Shield,2,"Def +8.0%
HP +12.0%"
Ice Princess’ Shield,2,"Def +8.0%
HP +14.0%"
Wyvern Shield,1,HP +10.0%
Vampire Shield,2,"Def +8.0%
HP +15.0%"
Punishment Shield,2,"Def +8.0%
HP +12.0%"
Tanker Shield,1,Def +10.0%
Captain’s Mirror Shield,1,"Earth type Atk +15.0%
Fire type Atk +15.0%
Water type Atk +15.0%
Basic type Atk +15.0%
Light type Atk +15.0%
Dark type Atk +15.0%"
Charge Shield,2,"Def +8.0%
HP +10.0%"
Mirror Shield,2,"Def +8.0%
HP +10.0%"
Knight Shield,1,Def +10.0%
Demon Shield,2,"Def +6.0%
HP +10.0%"
Seth Shield,2,"Def +8.0%
HP +10.0%"
Copper Shield,1,Def +7.0%
Mate’s Shield,2,"Def +7.0%
HP +8.0%"
Elphaba’s Smile Shield,1,"HP +10.0%
-0.4 seconds of weapon skill Regen time on enemy kill"
War Shield,1,Def +7.0%
Rose Shield,2,"Def +7.0%
HP +7.0%"
Molten Shield,1,Def +6.0%
Iron Shield,1,Def +6.0%
Skeleton Shield,1,Def +6.0%
Circular Wood Shield,1,Def +6.0%
Blade Shield,2,"Def +10.0%
HP +8.0%"
Tutorial Shield,,
